Tool,Count
tableau,201
excel,106
power bi,90
illustrator,79
d3,68
r,57
powerpoint,50
flourish,49
python,49
ggplot,44
figma,42
pen and paper,37
svelte,30
rawgraphs,29
google sheets,26
datawrapper,26
observable plot,21
canva,20
qgis,16
plotly,11
arcgis,11
matplotlib,10
looker,7
react,7
vega,7
mapbox,6
adobe illustrator,6
word,5
google data studio,5
p5,5
seaborn,5
affinity designer,4
highcharts,4
css,4
gephi,4
javascript,3
webgl,3
leaflet.js,3
vue,3
processing,3
html,3
dash,3
altair,3
photoshop,3
houdini,2
sas,2
charticulator,2
svg,2
microstrategy,2
inkscape,2
blender,2
streamlit,2
airtable,2
hex,2
infogram,2
sigma,2
vanilla javascript,2
whiteboard,2
data studio,2
paraview,1
moqups,1
sap business objects,1
storyline,1
apache echarts,1
ms whiteboard,1
vba,1
minitab,1
mosaic,1
typescript,1
webgpu,1
freehand,1
layercake,1
datashader,1
ssrs,1
deck.gl,1
aframe,1
maplibre,1
sql,1
dchart,1
sankeymatic,1
venngage,1
khartis,1
metabase,1
ai2html,1
(don't know anything else - would love to know more),1
chatgpt,1
google sheets (just for organizing the data,1
easycsv,1
which i use for work,1
panel,1
morphcharts,1
miro,1
celonis,1
art materials,1
duckdb,1
but don't enjoy those,1
procreate,1
graphql,1
rxjs,1
echarts,1
painting,1
vizio,1
after effects,1
jp_doodle,1
power query,1
i use more,1
cables.gl,1
angular,1
visx,1
physical materials,1
basic chart concepts. figma (our ux design tool so charts are embedded into screen mockups.,1
camtasia,1
paper and pencil,1
sisense,1
paper + writing,1
figjam,1
to be honest i don't enjoy building data visualization with the current dashboarding tools,1
datylon,1
knime,1
a-frame,1
everviz,1
spss,1
hvplot,1
jmp,1
graphpad prism,1
plotnine,1
keynote,1
bold of you to assume i enjoy my job.,1
decksh,1
bokeh,1
ipad+pencil+concepts,1
agol,1
photography,1
elastic charts,1
color oracle,1
pentaho,1
concepts,1
stata,1
lucidchart,1
deneb,1
scrollama,1
drawing utensils,1
osmand,1
fine-point pen (black),1
swagger,1
chartjs,1
power bi & domo,1
letsplot,1
ignition scada,1
three.js,1
nodebox,1
adobe indesign,1
h5gizmos,1
flutter,1
salesforce,1
chroma.js,1
slides,1
physicalisation,1
